ID,JudulBuku,Penulis,Penerbit,JumlahHalaman,Genre,TahunTerbit,ISBN,Stok,TanggalMasuk,Ketersediaan,Deskripsi,TotalDipinjam,
B130,Manusia Gergaji dari Hutan Terlarang,Wood Cutter Grim,Serpihan Teror,250,gore,2023,9.78457E+12,5,10/3/2023,Tersedia,Legenda urban tentang sosok mengerikan yang memburu para pendaki di hutan angker.,0,
B131,Kisah Cinta Abadi Romeo & Juliet Modern,Shakes Peary,Asmara Klasik Baru,280,romantis,2025,9.78568E+12,19,4/18/2025,Tersedia,Adaptasi modern kisah cinta tragis Romeo dan Juliet di tengah konflik geng motor.,0,
B132,Stasiun Luar Angkasa Omega 7,Dr. Stella Voyager,Jelajah Nebula,475,scifi,2022,9.78679E+12,10,7/25/2022,Tersedia,Kehidupan dan misteri di stasiun luar angkasa raksasa yang menjadi persinggahan antarplanet.,0,
B133,Resep Rahasia Nenek di Desa,Chef Kampung,Warisan Rasa,175,slice of life,2024,9.78789E+12,17,5/5/2024,Tersedia,Kumpulan resep masakan tradisional turun-temurun dari seorang nenek di desa.,0,
B134,Perceraian yang Mengguncang Takhta,Lord Richard,Skandal Kerajaan,395,drama,2023,9.7889E+12,7,8/19/2023,Tersedia,Drama perceraian seorang raja yang berdampak pada stabilitas politik kerajaannya.,0,
B135,Terjebak dalam Simulasi Realitas,Neo Matrixia,Dunia Virtual Press,330,psikological,2025,9.78901E+12,9,1/11/2025,Tersedia,Seseorang menyadari bahwa hidupnya adalah bagian dari simulasi komputer yang canggih.,0,
B136,Big Data Analytics untuk Bisnis,Prof. Data Analitika,Informasi Strategis,435,teknologi,2022,9.78012E+12,13,6/1/2022,Tersedia,Pemanfaatan analisis big data untuk pengambilan keputusan bisnis yang lebih baik.,0,
B137,Malam Jumat di Kuburan Angker,Tim Pemburu Hantu,Jejak Gaib Nusantara,290,horor,2024,9.78123E+12,0,2/29/2024,Kosong,Ekspedisi malam tim pemburu hantu di sebuah kompleks pemakaman yang terkenal angker.,0,
B138,Operasi Badai Gurun Merah,Sersan Rock Hard,Medan Perang Panas,370,aksi,2023,9.78235E+12,18,9/22/2023,Tersedia,Misi tempur berbahaya sebuah unit pasukan khusus di tengah gurun yang ganas.,0,
B139,Cincin Phoenix Pembawa Keabadian,Ignis Flamewielder,Artefak Legendaris,525,fantasi,2025,9.78346E+12,12,3/25/2025,Tersedia,Pencarian cincin ajaib yang dapat memberikan keabadian kepada pemiliknya.,0,
B140,Stand Up Comedy Garing Nasional,MC Jayus,Mikrofon Ngakak,200,comedi,2022,9.78457E+12,20,11/17/2022,Tersedia,Kompilasi materi stand up comedy dari berbagai pelawak (fiktif) di Indonesia.,0,
B141,Rumah Jagal di Tepi Danau,Lester Flesh,Gorefest Publishing,260,gore,2024,9.78568E+12,4,4/23/2024,Tersedia,Sekelompok remaja berkemah di dekat rumah jagal tua yang menyimpan rahasia mengerikan.,0,
B142,Hatiku Tertambat di Dermaga Senja,Kapten Pelaut Hati,Lautan Cinta,285,romantis,2023,9.78679E+12,15,7/7/2023,Tersedia,Kisah cinta antara seorang pelaut dan gadis penjaga mercusuar.,0,
B143,Perjalanan Menembus Lubang Cacing,Dr. Quantum Leap,Fisika Paradoks,485,scifi,2025,9.78789E+12,10,1/31/2025,Tersedia,Ilmuwan menemukan cara melakukan perjalanan instan antar galaksi melalui lubang cacing.,0,
B144,Kisah Tukang Sol Sepatu Keliling,Pak Solihin Jujur,Langkah Kehidupan,170,slice of life,2022,9.7889E+12,19,8/8/2022,Tersedia,Potret kehidupan sederhana dan penuh makna dari seorang tukang sol sepatu.,0,
B145,Warisan Berdarah Keluarga Hartawan,Detektif Adrian,Kasus Pelik,400,drama,2024,9.78901E+12,6,2/14/2024,Tersedia,Penyelidikan pembunuhan seorang miliarder yang mengungkap konflik warisan dalam keluarganya.,0,
B146,Efek Plasebo dan Kekuatan Sugesti,Dr. Imajinari Sugesti,Pikiran Sehat,325,psikological,2023,9.78012E+12,11,6/16/2023,Tersedia,Bagaimana pikiran dan sugesti dapat mempengaruhi kesehatan fisik dan mental.,0,
B147,Cloud Native Application Development,DevOps Master,Arsitektur Modern,440,teknologi,2025,9.78123E+12,14,5/4/2025,Tersedia,Panduan membangun dan menerapkan aplikasi cloud native dengan Kubernetes dan microservices.,0,
B148,Ritual Pemujaan Iblis Kuno,Cultus Obscurus,Buku Terlarang,305,horor,2022,9.78235E+12,7,10/29/2022,Tersedia,Sekelompok pemuja setan mencoba membangkitkan iblis kuno dengan ritual mengerikan.,0,
B149,Pembalasan Mantan Agen CIA,Agent Xylo,Operasi Senyap,375,aksi,2024,9.78346E+12,17,3/7/2024,Tersedia,Seorang mantan agen CIA yang dikhianati memburu rekan-rekannya yang korup.,0,
B150,Kerajaan Bawah Laut Atlantis Modern,Raja Triton,Samudra Keajaiban,530,fantasi,2023,9.78457E+12,12,11/25/2023,Tersedia,Penemuan kembali peradaban Atlantis yang kini hidup berdampingan dengan teknologi canggih.,0,
B151,Geng Motor Paling Ngocol,Bro Zacky,Aspal Bergetar,205,comedi,2025,9.78568E+12,23,1/15/2025,Tersedia,Petualangan lucu geng motor yang anggotanya aneh-aneh dan selalu sial.,0,
B152,Klinik Aborsi Ilegal Dr. Maut,Nurse Pain,Suntikan Dosa,265,gore,2022,9.78679E+12,3,8/22/2022,Tersedia,Pengungkapan praktik aborsi ilegal yang dijalankan oleh dokter sadis.,0,
B153,Cinta Terlarang di Menara Gading,Putri Violita,Roman Istana,290,romantis,2024,9.78789E+12,18,3/1/2024,Tersedia,Kisah cinta antara seorang putri bangsawan dan pengawal pribadinya.,0,
B154,Terraforming Mars: Koloni Pertama,Elon Musketeer,Planet Merah Publishing,490,scifi,2023,9.7889E+12,11,7/19/2023,Tersedia,Proses terraforming planet Mars dan tantangan membangun koloni manusia pertama.,0,
B155,Toko Kelontong di Gang Sempit,Bu Jamilah,Cerita Tetangga,165,slice of life,2025,9.78901E+12,20,4/27/2025,Tersedia,Hiruk pikuk dan kisah-kisah unik dari sebuah toko kelontong di gang padat penduduk.,0,
B156,Direktur Utama yang Kejam,Mr. Tyrant Boss,Korporasi Hitam,405,drama,2022,9.78012E+12,7,10/13/2022,Tersedia,Kisah seorang karyawan yang berjuang melawan kesewenang-wenangan direktur utama perusahaan.,0,
B157,Mengendalikan Emosi dengan Meditasi,Guru Damai,Jiwa Tenang Press,315,psikological,2024,9.78123E+12,14,2/9/2024,Tersedia,Panduan langkah demi langkah untuk mengendalikan emosi negatif melalui teknik meditasi.,0,
B158,Cybersecurity untuk Era Digital,Hacker Putih,Benteng Virtual,445,teknologi,2023,9.78235E+12,12,9/3/2023,Tersedia,Ancaman siber terkini dan cara melindungi data pribadi serta sistem di era digital.,0,
B159,Hutan Bisikan Arwah Gentayangan,Rimba Angker,Pohon Keramat Books,310,horor,2025,9.78346E+12,9,1/28/2025,Tersedia,Sekelompok pendaki tersesat dan dihantui oleh arwah-arwah penasaran di hutan terlarang.,0,
B160,Tim SWAT vs Perampok Bank Profesional,Komandan Cobra,Garis Depan Laga,380,aksi,2022,9.78457E+12,16,6/10/2022,Tersedia,Adu strategi dan baku tembak antara tim SWAT dan perampok bank yang sangat terorganisir.,0,
B161,Pulau Para Satria Griffin Emas,Aero Wingcrest,Legenda Udara,535,fantasi,2024,9.78568E+12,10,5/12/2024,Tersedia,Petualangan mencari pulau mitos tempat para satria penunggang Griffin emas bersemayam.,0,
B162,Guru Matematika Paling Sableng,Pak Rumus Kacau,Kelas Ngakak,210,comedi,2023,9.78679E+12,21,11/29/2023,Tersedia,Kisah lucu seorang guru matematika dengan metode mengajar yang super aneh.,0,
B163,Kanibal dari Pedalaman Amazon,Dr. Explorer Gore,Ekspedisi Maut,270,gore,2025,9.78789E+12,0,3/16/2025,Kosong,Tim ekspedisi ilmiah menghadapi suku kanibal primitif di pedalaman hutan Amazon.,0,
B164,Takdir Cinta di Kota Paris,Amelie Dubois,Eiffel Romance,295,romantis,2022,9.7889E+12,17,7/1/2022,Tersedia,Pertemuan tak sengaja dua insan dari negara berbeda yang jatuh cinta di kota Paris.,0,
B165,Lubang Hitam Pemakan Galaksi,Prof. Cosmos Stellar,Teori Alam Semesta,500,scifi,2024,9.78901E+12,8,2/24/2024,Tersedia,Penelitian tentang lubang hitam supermasif dan ancamannya terhadap galaksi.,0,
B166,Warung Bakso Pak Kumis Joss,Kang Bakso Enak,Kuliner Nusantara,160,slice of life,2023,9.78012E+12,22,6/28/2023,Tersedia,Cerita sehari-hari dari warung bakso terkenal dan para pelanggannya yang beragam.,0,
B167,Pengacara Muda Melawan Koruptor Kakap,Lex Justitia,Ruang Sidang Panas,410,drama,2025,9.78123E+12,6,4/4/2025,Tersedia,Perjuangan seorang pengacara muda idealis membongkar kasus korupsi besar.,0,
B168,Ilusi Optik dan Tipuan Pikiran,Dr. Visionary Trick,Mata Batin Press,320,psikological,2022,9.78235E+12,11,12/19/2022,Tersedia,Bagaimana otak kita memproses informasi visual dan mudah tertipu oleh ilusi optik.,0,
B169,Machine Learning dengan Python Praktis,Kode Jenius,Algoritma Cerdas,450,teknologi,2024,9.78346E+12,15,1/9/2024,Tersedia,Implementasi algoritma machine learning menggunakan Python untuk berbagai kasus.,0,
B170,Mansion Terkutuk di Bukit Kesunyian,Edgar Allan Poe Jr.,Pena Gotik,315,horor,2023,9.78457E+12,8,8/11/2023,Tersedia,"Seorang penulis pindah ke mansion tua untuk mencari inspirasi, namun malah menemukan teror.",0,
B171,Pembalasan Jagoan Silat Betawi,Bang Jampang Modern,Pendekar Ibukota,385,aksi,2025,9.78568E+12,19,2/27/2025,Tersedia,Jagoan silat Betawi melawan preman-preman yang meresahkan kampungnya.,0,
B172,Dunia Sihir di Balik Lemari Tua,Lucy Pevensie II,Gerbang Ajaib,540,fantasi,2022,9.78679E+12,12,10/5/2022,Tersedia,Anak-anak menemukan portal ke dunia sihir melalui sebuah lemari tua di rumah nenek mereka.,0,
B173,Keluarga Cemara Pindah ke Mars,Abah Luar Angkasa,Planet Ceria,215,comedi,2024,9.78789E+12,20,5/20/2024,Tersedia,Keluarga Cemara versi masa depan mencoba beradaptasi hidup di koloni Planet Mars.,0,
B174,Operasi Amputasi Tanpa Batas,Sawbones Massacre,Trauma Medis,275,gore,2023,9.7889E+12,4,7/27/2023,Tersedia,Dokter bedah gila di medan perang melakukan amputasi brutal pada prajurit yang terluka.,0,
B175,Cinta Sejati Tak Kenal Usia,Oma Rosie & Opa Jack,Asmara Senja,300,romantis,2025,9.78901E+12,17,3/29/2025,Tersedia,Kisah cinta yang mekar kembali antara dua lansia di panti jompo.,0,
B176,Kota Cyborg di Bawah Laut,Aqua Mechanica,Atlantis Baru Press,505,scifi,2023,9.78012E+12,10,8/5/2023,Tersedia,Eksplorasi kota bawah laut canggih yang dihuni oleh manusia setengah robot.,0,
B177,Penjual Koran Tua dan Mimpinya,Pak Tua Cita,Koran Pagi Cerita,155,slice of life,2025,9.78123E+12,21,1/1/2025,Tersedia,Kisah inspiratif seorang penjual koran tua yang tak pernah berhenti bermimpi.,0,
B178,Konflik Taipan Media Nasional,Raja Berita,Jaringan Informasi Panas,415,drama,2022,9.78235E+12,6,6/20/2022,Tersedia,Persaingan brutal antara dua taipan media yang saling menjatuhkan.,0,
B179,Analisis Pola Tidur dan Mimpi,Dr. Somnus Dreamweaver,Istana LeLap,325,psikological,2024,9.78346E+12,12,4/13/2024,Tersedia,"Penelitian tentang berbagai pola tidur, gangguan tidur, dan interpretasi mimpi.",0,
B180,Pengembangan Game Edukasi Interaktif,Game Dev Junior,Pixel Pintar,455,teknologi,2023,9.78457E+12,15,10/26/2023,Tersedia,Panduan membuat game edukasi yang menarik dan interaktif untuk anak-anak.,0,
B181,Arwah Penunggu Jembatan Gantung,Desa Mistis Writer,Gerbang Gaib Publishing,320,horor,2025,9.78568E+12,8,2/16/2025,Tersedia,Legenda urban tentang arwah penasaran yang sering muncul di jembatan gantung tua.,0,
B182,Unit Elit Pembasmi Zombie,Sersan Romero,Pasukan Kiamat,390,aksi,2022,9.78679E+12,18,11/9/2022,Tersedia,Perjuangan unit elit militer bertahan hidup dan membasmi wabah zombie global.,0,
B183,Kerajaan Kurcaci di Gunung Emas,Thorin Stonebeard,Harta Karun Fantasi,545,fantasi,2024,9.78789E+12,11,1/24/2024,Tersedia,Petualangan mencari kerajaan kurcaci legendaris yang penuh dengan emas dan permata.,0,
B184,Audisi Pelawak Paling Absurd,Juri Ngakak,Panggung Geli,220,comedi,2023,9.7889E+12,20,7/11/2023,Tersedia,Kumpulan cerita lucu dari audisi pelawak yang pesertanya super aneh dan berbakat.,0,
B185,Eksperimen Genetik Monster Chimera,Dr. Moreaustein,Laboratorium Terlarang,280,gore,2025,9.78901E+12,0,4/22/2025,Kosong,Ilmuwan gila menciptakan monster mengerikan melalui eksperimen genetik antar spesies.,0,
B186,Cinta Pandangan Pertama di Perpustakaan,Buku Hati,Roman Aksara,305,romantis,2022,9.78012E+12,19,9/2/2022,Tersedia,Kisah cinta antara dua kutu buku yang bertemu dan jatuh cinta di perpustakaan kota.,0,
B187,Kapal Penjelajah Waktu Kembali ke Masa Dinosaurus,Dr. Chronos Rex,Mesin Waktu Publishing,510,scifi,2024,9.78123E+12,9,5/30/2024,Tersedia,Sekelompok ilmuwan melakukan perjalanan waktu ke zaman dinosaurus dan menghadapi bahaya.,0,
B188,Kehidupan Nelayan di Pesisir Utara,Pak Jala Samudra,Laut Biru Cerita,150,slice of life,2023,9.78235E+12,22,8/27/2023,Tersedia,"Rutinitas, tantangan, dan harapan para nelayan di sebuah desa pesisir.",0,
B189,Skandal Cinta Segitiga Sang Aktris Terkenal,Reporter Gosip Panas,Sorotan Selebriti,420,drama,2025,9.78346E+12,5,3/5/2025,Tersedia,Terungkapnya skandal cinta segitiga seorang aktris terkenal yang menghebohkan publik.,0,
B190,Sindrom Stockholm dan Ikatan Aneh,Dr. Captiva Bond,Psikologi Kriminal,330,psikological,2022,9.78457E+12,10,6/28/2022,Tersedia,Analisis psikologis fenomena Sindrom Stockholm pada korban penculikan.,0,
B191,Realitas Virtual dan Masa Depan Interaksi,Virtua Vision,Dimensi Baru Press,460,teknologi,2024,9.78568E+12,13,2/17/2024,Tersedia,Potensi dan perkembangan teknologi realitas virtual (VR) dalam berbagai aspek kehidupan.,0,
B192,Boneka Santet Kiriman Dendam,Dukun Hitam,Ilmu Gaib Maut,325,horor,2023,9.78679E+12,7,10/9/2023,Tersedia,Teror boneka santet yang dikirim untuk membalas dendam kepada sebuah keluarga.,0,
B193,Misi Solo Agen Pembunuh Bayaran,Shadow Assassin,Kontrak Mati,395,aksi,2025,9.78789E+12,17,1/19/2025,Tersedia,Seorang pembunuh bayaran legendaris menjalankan misi terakhirnya yang paling berbahaya.,0,
B194,Pohon Kehidupan di Taman Peri,Flora Evergreen,Sihir Alam Fantasi,550,fantasi,2022,9.7889E+12,12,12/7/2022,Tersedia,Pencarian Pohon Kehidupan ajaib yang dijaga oleh para peri di taman tersembunyi.,0,
B195,Lomba Masak Paling Kacau Sedunia,Chef Gordon Ramsay Jr.,Dapur Berantakan,225,comedi,2024,9.78901E+12,19,3/21/2024,Tersedia,Kompetisi masak amatir yang penuh dengan insiden lucu dan masakan gagal total.,0,
B196,Laboratorium Penyiksaan Rahasia Pemerintah,Whistleblower X,Proyek Gelap,285,gore,2023,9.78012E+12,4,7/30/2023,Tersedia,Pengungkapan fasilitas rahasia pemerintah tempat dilakukannya eksperimen penyiksaan.,0,
B197,Surat Cinta dari Medan Perang,Prajurit Hati Baja,Roman Frontir,310,romantis,2025,9.78123E+12,16,4/25/2025,Tersedia,Kisah cinta LDR antara seorang prajurit di medan perang dan kekasihnya di kampung halaman.,0,
B198,Virus Alien Mengancam Kemanusiaan,Dr. Andromeda Strain,Biohazard Global,515,scifi,2022,9.78235E+12,9,8/3/2022,Tersedia,Wabah virus mematikan dari luar angkasa menyebar dengan cepat dan mengancam eksistensi manusia.,0,
B199,Kedai Es Krim Penuh Kenangan,Oma Gelato Manis,Scoop Bahagia,145,slice of life,2024,9.78346E+12,23,5/9/2024,Tersedia,Setiap rasa es krim di kedai tua ini menyimpan cerita dan kenangan manis bagi pelanggannya.,0,
B200,Warisan Takhta Berdarah Dingin,Pangeran Victor,Dinasti Terkutuk,425,drama,2023,9.78457E+12,6,11/15/2023,Tersedia,"Perebutan takhta kerajaan yang diwarnai pembunuhan, intrik, dan pengkhianatan.",0,
B201,Obsesi Penguntit Dunia Maya,Alex Stalkerazzi,Jejak Digital Gelap,335,psikological,2025,9.78568E+12,10,3/13/2025,Tersedia,Kisah mengerikan seorang selebgram yang hidupnya diteror oleh penguntit obsesif di dunia maya.,0,
B202,Pemrograman Paralel dan Komputasi Terdistribusi,Prof. Grid System,Jaringan Cepat,465,teknologi,2022,9.78679E+12,13,7/21/2022,Tersedia,Konsep dan implementasi pemrograman paralel untuk meningkatkan kinerja komputasi.,0,
B203,Makhluk Penghisap Jiwa dari Dimensi Lain,Eldritch Horror,Portal Kegelapan,330,horor,2024,9.78789E+12,8,1/6/2024,Tersedia,Sebuah portal terbuka dan melepaskan makhluk mengerikan yang memangsa jiwa manusia.,0,
B204,Tim Balap Liar Penakluk Jalanan,Racer King,Aspal Terbakar,399,aksi,2023,9.7889E+12,17,8/30/2023,Tersedia,Persaingan sengit antar tim balap liar di jalanan kota yang berbahaya.,0,
B205,Ramuan Cinta Sang Penyihir Desa,Nenek Sihir Asmara,Mantra Hati,555,fantasi,2025,9.78901E+12,11,4/16/2025,Tersedia,Penyihir tua membuat ramuan cinta paling ampuh yang menyebabkan kekacauan di desanya.,0,
B206,Kumpulan Pantun Jenaka Bang Jampang,Bang Jampang Lucu,Budaya Tawa,230,comedi,2022,9.78012E+12,20,10/19/2022,Tersedia,Kumpulan pantun lucu dan menghibur khas Betawi dari Bang Jampang.,0,
B207,Rumah Sakit Terbengkalai Penuh Organ Manusia,Dr. Butcherstein,Koleksi Mengerikan,290,gore,2024,9.78123E+12,0,2/26/2024,Kosong,Penemuan mengerikan di rumah sakit jiwa tua yang ternyata menjadi tempat penyimpanan organ ilegal.,0,
B208,Janji Setia di Bawah Langit Swiss,Heidi Alpine,Roman Pegunungan,315,romantis,2023,9.78235E+12,16,6/12/2023,Tersedia,Kisah cinta romantis dengan latar belakang pemandangan indah pegunungan Alpen Swiss.,0,
B209,Peradaban Manusia di Planet Tiruan Bumi,Project Genesis,Terra Nova Books,520,scifi,2025,9.78346E+12,9,1/27/2025,Tersedia,Eksperimen rahasia menciptakan planet tiruan Bumi dan peradaban baru di atasnya.,0,
B210,Kisah Pedagang Asongan di Lampu Merah,Pak Ujang Sabar,Jalanan Ibukota,140,slice of life,2022,9.78457E+12,24,8/9/2022,Tersedia,Perjuangan hidup dan cerita-cerita unik dari seorang pedagang asongan.,0,
B211,Kehancuran Dinasti Naga Emas,Sejarawan Istana,Kronik Kerajaan Runtuh,430,drama,2024,9.78568E+12,6,5/24/2024,Tersedia,"Jatuhnya dinasti besar akibat korupsi, pengkhianatan, dan pemberontakan rakyat.",0,
B212,Membaca Karakter Lewat Tulisan Tangan,Grafolog Analisa,Pena Jiwa Press,340,psikological,2023,9.78679E+12,11,11/2/2023,Tersedia,Panduan menganalisis kepribadian dan karakter seseorang melalui tulisan tangannya.,0,
B213,Augmented Reality: Mengubah Dunia Nyata,Virtua Lens,Inovasi Visual,470,teknologi,2025,9.78789E+12,14,3/30/2025,Tersedia,"Penerapan teknologi Augmented Reality dalam pendidikan, game, dan industri.",0,
B214,Hotel Berhantu di Puncak Gunung Salju,Penjaga Penginapan Arwah,Kamar Dingin,335,horor,2022,9.7889E+12,7,6/27/2022,Tersedia,Para pendaki terjebak badai salju dan terpaksa menginap di hotel tua yang berhantu.,0,
B215,Pasukan Penjinak Bom Paling Berani,Sersan Detonator,Zona Ledakan,405,aksi,2024,9.78901E+12,18,4/7/2024,Tersedia,Kisah heroik tim penjinak bom dalam menghadapi ancaman teror di kota besar.,0,
B216,Negeri Peri Bunga Matahari,Putri Lumia,Taman Ajaib Fantasi,560,fantasi,2023,9.78012E+12,10,9/14/2023,Tersedia,Petualangan di negeri peri yang semua tanamannya terbuat dari cahaya dan permata.,0,
B217,Kumpulan Cerpen Komedi Salah Paham,Trio Wagu,Ngakak Publishing,235,comedi,2025,9.78123E+12,19,2/5/2025,Tersedia,Cerita-cerita pendek lucu yang timbul akibat kesalahpahaman konyol.,0,
B218,Pabrik Sosis Manusia Tersembunyi,Chef Hannibal Jr.,Resep Daging Rahasia,295,gore,2022,9.78235E+12,5,12/15/2022,Tersedia,Investigasi hilangnya orang-orang yang mengarah pada sebuah pabrik sosis misterius.,0,
B219,Cinta Tak Terduga di Pulau Tropis,Kapten Hati Biru,Roman Samudra,320,romantis,2024,9.78346E+12,15,1/12/2024,Tersedia,Seorang wanita karir terdampar di pulau terpencil dan jatuh cinta pada penduduk lokal.,0,
B220,Serangan Armada Cyborg dari Nebula Andromeda,Laksamana Cygnus,Perang Bintang X,525,scifi,2023,9.78457E+12,8,7/25/2023,Tersedia,Perang dahsyat melawan armada cyborg dari galaksi lain yang ingin menguasai Bimasakti.,0,
B221,Galeri Foto Kehidupan Kota Tua,Fotografer Jalanan,Lensa Nostalgia,135,slice of life,2025,9.78568E+12,25,5/18/2025,Tersedia,Kumpulan foto dan cerita di baliknya yang menangkap esensi kehidupan di sebuah kota tua.,0,
B222,Intrik Perebutan Warisan Perusahaan Raksasa,CEO Bayangan,Bisnis Berdarah,435,drama,2022,9.78679E+12,6,9/1/2022,Tersedia,Saling sikut dan intrik kotor dalam perebutan posisi CEO di perusahaan multinasional.,0,
B223,Psikologi Massa dan Perilaku Kerumunan,Dr. Mob Mentality,Analisis Sosial,345,psikological,2024,9.78789E+12,12,2/20/2024,Tersedia,Studi tentang bagaimana individu berperilaku berbeda ketika berada dalam kerumunan besar.,0,
B224,Keamanan Data di Era Komputasi Kuantum,Crypto Quantum,Enkripsi Masa Depan,475,teknologi,2023,9.7889E+12,10,10/1/2023,Tersedia,Tantangan dan solusi keamanan data menghadapi kemajuan komputer kuantum.,0,
B225,Kisah Nyata Pesugihan Gunung Kawi,Pencari Berkah Sesat,Ritual Gelap Jawa,340,horor,2025,9.78901E+12,9,4/29/2025,Tersedia,Pengakuan mantan pelaku pesugihan dan kengerian yang dialaminya di Gunung Kawi.,0,
B226,Pasukan Siber Penjaga Kedaulatan,Kapten Enkripsi,Benteng Digital Negara,410,aksi,2023,9.78026E+12,18,6/8/2023,Tersedia,Tim peretas etis pemerintah melawan serangan siber yang mengancam negara.,0,
B227,Dunia Paralel di Balik Cermin Ajaib,Alice Wonderer,Refleksi Fantastika,565,fantasi,2025,9.78139E+12,11,2/10/2025,Tersedia,Seorang gadis menemukan dunia paralel yang penuh keajaiban dan bahaya di balik cermin tua.,0,
B228,Kumpulan Cerita Salah Tingkah Pak Lurah,Lurah Gokil Abis,Desa Tawa Ceria,240,comedi,2022,9.78252E+12,20,11/21/2022,Tersedia,Kelakuan dan keputusan-keputusan aneh Pak Lurah yang selalu mengundang tawa warga.,0,
B229,Koleksi Kepala Manusia Sang Antropolog Gila,Prof. Cranium Collector,Museum Tengkorak,300,gore,2024,9.78366E+12,0,1/17/2024,Kosong,Antropolog terkenal ternyata memiliki koleksi kepala manusia dari berbagai suku terasing.,0,
B230,Cinta Bersemi di Festival Musik Indie,Nada Senja,Melodi Alternatif,325,romantis,2023,9.78479E+12,16,8/4/2023,Tersedia,Dua pecinta musik indie bertemu dan jatuh cinta di tengah kemeriahan festival musik.,0,
B231,Kolonisasi Sabuk Asteroid Kuiper,Pioneer Stardust,Perbatasan Angkasa,530,scifi,2025,9.78592E+12,9,4/6/2025,Tersedia,Perjuangan manusia menambang dan membangun koloni di sabuk asteroid jauh dari Bumi.,0,
B232,Gerobak Bubur Ayam Legendaris,Bang Aceng Bubur,Resep Warisan Pagi,130,slice of life,2022,9.78606E+12,26,7/11/2022,Tersedia,Kisah inspiratif seorang penjual bubur ayam yang gerobaknya menjadi ikon kuliner.,0,
B233,Skandal Suap Proyek Infrastruktur,Inspektur Integritas,Jejak Koruptor,440,drama,2024,9.78719E+12,6,5/29/2024,Tersedia,Investigasi mendalam kasus suap besar yang melibatkan kontraktor dan pejabat pemerintah.,0,
B234,Memori Terhapus Sang Agen Amnesia,Subjek Omega,Lab Eksperimen Gelap,350,psikological,2023,9.78832E+12,12,9/26/2023,Tersedia,Seorang agen rahasia kehilangan ingatannya dan harus mencari tahu siapa dirinya sebenarnya.,0,
B235,Pengantar Rekayasa Perangkat Lunak Modern,Prof. Kode Bersih,Arsitektur Aplikasi,480,teknologi,2025,9.78946E+12,14,1/2/2025,Tersedia,Prinsip dan praktik terbaik dalam pengembangan perangkat lunak skala besar.,0,
B236,Misteri Pulau Kanibal Tak Berpenghuni,Kapten Nemo Jr.,Ekspedisi Laut Dalam,345,horor,2022,9.78059E+12,7,12/9/2022,Tersedia,Tim peneliti terdampar di pulau terpencil yang ternyata dihuni suku kanibal mengerikan.,0,
B237,Agen Intelijen Melawan Pembunuh Internasional,Mark Spectre,Misi Global Rahasia,415,aksi,2024,9.78172E+12,17,3/24/2024,Tersedia,Agen rahasia terbaik dunia memburu pembunuh bayaran licin yang targetnya para pemimpin dunia.,0,
B238,Kota Terapung Para Penyihir Laut,Aquaria Mistwalker,Sihir Samudra,570,fantasi,2023,9.78286E+12,10,6/15/2023,Tersedia,Penemuan kota terapung ajaib yang dihuni oleh para penyihir penguasa lautan.,0,
B239,Kumpulan Dongeng Salah Tafsir,Pencerita Ngawur,Logika Terbalik,245,comedi,2025,9.78399E+12,19,2/23/2025,Tersedia,Dongeng-dongeng klasik yang diceritakan ulang dengan interpretasi yang super konyol.,0,
B240,Kamar Mayat Rumah Sakit Angker,Juru Autopsi Malam,Catatan Forensik Seram,305,gore,2022,9.78413E+12,5,10/7/2022,Tersedia,Kejadian-kejadian aneh dan mengerikan yang dialami petugas kamar mayat di rumah sakit tua.,0,
B241,Cinta Pandangan Kedua di Reuni SMA,Nostalgia Asmara,Album Kenangan Manis,330,romantis,2024,9.78526E+12,15,4/19/2024,Tersedia,Dua teman lama bertemu kembali di reuni SMA dan menemukan cinta yang dulu terpendam.,0,
B242,Perang Melawan Kecerdasan Buatan Jahat,"Neo ""The One"" Cyber",Matriks Pemberontak,535,scifi,2023,9.78639E+12,8,11/11/2023,Tersedia,Masa depan di mana umat manusia berperang melawan AI super cerdas yang ingin menguasai dunia.,0,
B243,Bengkel Tambal Ban Pak Sabar,Pak Ban Kempes,Cerita Pinggir Jalan,125,slice of life,2025,9.78753E+12,27,3/8/2025,Tersedia,Kisah-kisah inspiratif dan lucu dari interaksi Pak Sabar dengan para pelanggannya.,0,
B244,Direbutnya Perusahaan Keluarga oleh Orang Dalam,Pewaris Terbuang,Konflik Korporasi,445,drama,2022,9.78866E+12,6,8/16/2022,Tersedia,Anak pemilik perusahaan harus berjuang merebut kembali perusahaannya dari pengkhianatan orang kepercayaan ayahnya.,0,
B245,Hipnoterapi Mengungkap Trauma Terpendam,Dr. Subliminal Healer,Pikiran Bawah Sadar,355,psikological,2024,9.78979E+12,11,1/31/2024,Tersedia,Proses hipnoterapi yang membantu pasien mengungkap dan menyembuhkan trauma masa kecil.,0,
B246,Teknologi Drone Pengawasan dan Pengiriman,Pilot Tanpa Awak,Langit Cerdas,485,teknologi,2023,9.78093E+12,13,7/3/2023,Tersedia,Pemanfaatan drone untuk berbagai keperluan mulai dari pengawasan hingga pengiriman barang.,0,
